relation_id,sentence_id,description,is_true,expectation,words,p1_start,p1_length,p2_start,p2_length,p2_length,features,weights
eng-WL-107-174567-12932214_15_19-eng-WL-107-174567-12932214_15_0,eng-WL-107-174567-12932214_15,Gavin Rossdale-Gwen Stefani,t,1,"{Gwen,Stefani,is,seen,here,enjoying,her,last,few,days,of,pregnancy,in,the,British,summertime,with,her,hubby,Gavin,Rossdale,and,little,boy,Kingston,.}",19,2,0,2,2,"{word_between=hubby,word_between=pregnancy,num_words_between=17,word_between=with,word_between=days,word_between=here,word_between=British,word_between=seen,word_between=her,word_between=the,word_between=few,word_between=is,word_between=of,word_between=in,word_between=last,word_between=enjoying,word_between=summertime}","{4.17723,-1.64411,-1.64257,1.03993,1.00872,-0.840488,0.74971,0.691533,0.550978,0.356385,0.304935,0.290995,0.209585,0.180563,-0.0682428,0.0140296,0}"
eng-WL-11-174577-12937397_96_24-eng-WL-11-174577-12937397_96_4,eng-WL-11-174577-12937397_96,Emilio Estefan-A. Raymond Hamrick,,0.954,"{Almeida,'s,lawyer,"","",A.,Raymond,Hamrick,"","",says,part,of,the,money,was,spent,to,record,songs,with,Gloria,Estefan,'s,husband,"","",Emilio,Estefan,.}",24,2,4,3,3,"{word_between=husband,word_between=record,word_between=part,num_words_between=17,""word_between=,"",word_between=money,word_between=with,word_between=songs,word_between=says,word_between=the,word_between=Gloria,word_between=was,word_between=of,word_between=spent,word_between='s,word_between=to,word_between=Estefan}","{3.89145,1.89886,-1.77486,-1.64257,-1.39174,-1.17474,1.03993,0.869485,0.753139,0.356385,0.34446,-0.252233,0.209585,0.0732644,-0.0329627,-0.00130738,0}"
LTW_ENG_20080223.0068.LDC2009T13_945_8-LTW_ENG_20080223.0068.LDC2009T13_945_29,LTW_ENG_20080223.0068.LDC2009T13_945,Craig Stevens-Tony,f,0.936,"{The,house,was,sold,in,1969,to,actor,Craig,Stevens,"","",who,played,the,title,role,in,the,NBC,series,``,Peter,Gunn,"","",'',and,his,wife,"","",Tony,winner,Alexis,Smith,"","",according,to,research,by,Tim,Gregory,"","",the,Pasadena-based,Building,Biographer,.}",8,2,29,1,1,"{word_between=wife,word_between=NBC,word_between=Gunn,num_words_between=19,""word_between=,"",word_between=Peter,word_between=title,word_between=played,word_between=and,word_between=who,word_between=the,word_between=``,word_between=in,word_between=his,word_between=role,word_between='',word_between=series}","{4.1321,3.11923,-2.16892,-1.56238,-1.39174,-1.28558,1.10866,-0.852456,0.625537,0.520035,0.356385,-0.300107,0.180563,0.168154,0.0820595,0.0444401,-0.0162589}"
eng-WL-11-174643-12999984_15_2-eng-WL-11-174643-12999984_15_15,eng-WL-11-174643-12999984_15,Dawn Simorangkir-Kurt Cobain,,1,"{The,designer,Dawn,Simorangkir,has,brought,an,action,against,the,widow,of,leader,Nirvana,of,Kurt,Cobain,singer,Courtney,Love,.}",2,2,15,2,2,"{word_between=widow,num_words_between=11,word_between=leader,word_between=Nirvana,word_between=has,word_between=the,word_between=action,word_between=brought,word_between=of,word_between=against,word_between=an}","{4.62161,-1.13974,0.710097,0.560292,0.493595,0.356385,-0.330668,0.299996,0.209585,-0.0935338,0.0779101}"
APW_ENG_20080523.0123.LDC2009T13_274_25-APW_ENG_20080523.0123.LDC2009T13_274_7,APW_ENG_20080523.0123.LDC2009T13_274,Brad Altman-Sulu,,1,"{--,George,Takei,"","",the,original,Mr.,Sulu,on,``,Star,Trek,"","",'',saying,he,will,wed,his,longtime,partner,and,business,manager,"","",Brad,Altman,"","",now,that,the,California,Supreme,Court,has,legalized,same-sex,marriage,.}",25,2,7,1,1,"{word_between=partner,word_between=wed,word_between=manager,num_words_between=17,""word_between=,"",word_between=Trek,word_between=Star,word_between=and,word_between=saying,word_between=he,word_between=on,word_between=``,word_between=longtime,word_between=his,word_between=will,word_between='',word_between=business}","{3.58167,2.94123,1.8369,-1.64257,-1.39174,-1.00002,0.681733,0.625537,-0.332281,0.326569,0.308755,-0.300107,0.219937,0.168154,-0.154577,0.0444401,0.0192534}"
eng-WL-11-174575-12946927_15_29-eng-WL-11-174575-12946927_15_4,eng-WL-11-174575-12946927_15,Lynne Cheney-Bush,,0.962,"{From,YahooNews,:,President,Bush,"","",left,"","",along,with,"","",from,second,from,left,"","",first,lady,Laura,Bush,"","",Vice,President,Dick,Cheney,and,his,wife,"","",Lynne,Cheney,"","",stand,with,White,House,staff,and,members,of,Congress,as,they,take,part,in,a,moment,of,silence,"","",marking,the,sixth,anniversary,of,the,Sept.,11,terrorist,attacks,"","",Tuesday,"","",Sept.,11,"","",2007,"","",on,the,South,Lawn,of,the,White,House,in,Washington,.}",29,2,4,1,1,"{word_between=wife,word_between=Laura,num_words_between=24,word_between=lady,word_between=left,word_between=Dick,""word_between=,"",word_between=second,word_between=with,word_between=Vice,word_between=President,word_between=along,word_between=and,word_between=from,word_between=Cheney,word_between=first,word_between=his,word_between=Bush}","{4.1321,-3.91398,-3.0564,2.10734,2.09074,1.88488,-1.39174,-1.18614,1.03993,-1.00573,0.810313,-0.678432,0.625537,0.507163,0.427414,0.253295,0.168154,0.1577}"
79572@28_5-79572@28_31,79572@28,Roche-Hughes,,0.998,"{At,Smith,College,"","",where,Roche,taught,for,two,years,toward,the,end,of,the,decade,"","",he,befriended,Plath,"","",who,was,also,teaching,there,"","",and,her,husband,"","",Hughes,.}",5,1,31,1,1,"{word_between=husband,num_words_between=25,word_between=end,word_between=toward,""word_between=,"",word_between=taught,word_between=Plath,word_between=there,word_between=and,word_between=her,word_between=who,word_between=the,word_between=he,word_between=also,word_between=two,word_between=was,word_between=years,word_between=of,word_between=teaching,word_between=for,word_between=decade,word_between=befriended}","{3.89145,-2.08976,1.89538,1.81156,-1.39174,1.23398,-0.882653,-0.722866,0.625537,0.550978,0.520035,0.356385,0.326569,-0.28193,0.265512,-0.252233,-0.210396,0.209585,-0.149358,-0.0635128,0.0177105,0}"
APW_ENG_20081111.0086.LDC2009T13_660_30-APW_ENG_20081111.0086.LDC2009T13_660_39,APW_ENG_20081111.0086.LDC2009T13_660,Barbara Bush-Sasha Obama,,0.984,"{Cutter,'s,statement,said,the,women,spent,time,in,the,White,House,``,West,Sitting,Hall,"","",where,they,discussed,raising,daughters,in,the,White,House,"","",as,Jenna,and,Barbara,Bush,were,similar,in,age,to,Malia,and,Sasha,Obama,when,they,visited,their,grandfather,"","",President,George,H.,W.,Bush,"","",during,his,presidency,.,''}",30,2,39,2,2,"{word_between=Malia,word_between=were,num_words_between=7,word_between=and,word_between=age,word_between=in,word_between=similar,word_between=to}","{6.16029,-1.88947,-1.74305,0.625537,0.457675,0.180563,0.147198,-0.00130738}"
eng-WL-11-174588-12938657_2276_6-eng-WL-11-174588-12938657_2276_24,eng-WL-11-174588-12938657_2276,Naveen Andrews-Barbara hershey,t,0.992,"{The,other,really,cool,thing,about,Naveen,Andrews,"","",besides,his,extreme,hotness,"","",is,that,he,is,""\\/"",was,in,a,relationship,with,Barbara,hershey,"","",who,is,a,good,bit,older,than,he,is,.}",6,2,24,2,2,"{""word_between=\\/"",num_words_between=16,word_between=extreme,""word_between=,"",word_between=with,word_between=besides,word_between=relationship,word_between=he,word_between=is,word_between=was,word_between=in,word_between=his,word_between=that,word_between=a,word_between=hotness}","{2.60847,-2.04037,1.54898,-1.39174,1.03993,1.02328,0.73618,0.326569,0.290995,-0.252233,0.180563,0.168154,0.103416,0.0548419,0}"
LTW_ENG_20070110.0199.LDC2009T13_170_14-LTW_ENG_20070110.0199.LDC2009T13_170_8,LTW_ENG_20070110.0199.LDC2009T13_170,Alan Hamel-Suzanne Somers,t,0.922,"{There,was,a,flurry,of,activity,as,actress,Suzanne,Somers,and,her,husband,"","",Alan,Hamel,"","",pulled,up,to,the,front,of,their,burned-out,house,in,a,black,Cadillac,Escalade,.}",14,2,8,2,2,"{word_between=husband,""word_between=,"",num_words_between=4,word_between=and,word_between=her}","{3.89145,-1.39174,-1.37483,0.625537,0.550978}"
LTW_ENG_20070718.0056.LDC2009T13_171_15-LTW_ENG_20070718.0056.LDC2009T13_171_2,LTW_ENG_20070718.0056.LDC2009T13_171,Cathy Hughes-Greene,,0.976,"{We,called,Greene,'s,former,station,manager,Dewey,Hughes,"","",ex-husband,of,Radio,One,Chairperson,Cathy,Hughes,"","",who,made,WOL,into,the,cornerstone,of,her,broadcasting,empire,after,their,early,-,'80s,split,.}",15,2,2,1,1,"{word_between=ex-husband,word_between=manager,num_words_between=12,""word_between=,"",word_between=Chairperson,word_between=Radio,word_between=station,word_between=Hughes,word_between=former,word_between=Dewey,word_between=One,word_between=of,word_between='s}","{3.39629,1.8369,-1.40703,-1.39174,1.13613,0.791878,-0.693937,-0.556919,0.437364,-0.396724,0.33142,0.209585,-0.0329627}"
AFP_ENG_20070811.0197.LDC2009T13_192_11-AFP_ENG_20070811.0197.LDC2009T13_192_8,AFP_ENG_20070811.0197.LDC2009T13_192,Laura-Bush,,0.96,"{At,the,lunch,with,the,Sarkozys,will,be,Bush,'s,wife,Laura,"","",former,president,George,H.W.,and,Barbara,Bush,;,Bush,'s,brother,Florida,Governor,Jeb,Bush,and,his,wife,Columba,;,Bush,'s,sister,Doro,Koch,;,and,his,daughters,Jenna,and,Barbara,.}",11,1,8,1,1,"{word_between=wife,num_words_between=2,word_between='s}","{4.1321,-0.845881,-0.0329627}"
37741@43_6-37741@43_44,37741@43,Giuliani-Elizabeth,,0.984,"{Not,to,be,left,out,"","",Giuliani,also,asked,$,""2,300"",a,head,of,the,130,or,so,people,who,turned,out,to,meet,him,last,Sunday,at,the,home,of,Douglas,Korn,"","",a,Bear,Stearns,executive,"","",and,Korn,'s,wife,"","",Elizabeth,.}",6,1,44,1,1,"{word_between=wife,num_words_between=37,word_between=turned,""word_between=,"",word_between=people,word_between=home,word_between=$,word_between=meet,word_between=head,word_between=or,word_between=and,""word_between=2,300"",word_between=asked,word_between=so,word_between=who,word_between=executive,word_between=the,word_between=also,word_between=him,word_between=Bear,word_between=Stearns,word_between=of,word_between=out,word_between=at,word_between=Douglas,word_between=last,word_between=a,word_between=Sunday,word_between='s,word_between=to,word_between=130,word_between=Korn}","{4.1321,-2.80595,2.50978,-1.39174,1.369,0.854821,-0.788496,0.762203,-0.730754,-0.673074,0.625537,-0.602081,-0.599449,0.542546,0.520035,0.447702,0.356385,-0.28193,-0.253193,0.221532,-0.221064,0.209585,0.208824,-0.191547,-0.0762172,-0.0682428,0.0548419,0.0514488,-0.0329627,-0.00130738,0,0}"
APW_ENG_20080825.0910.LDC2009T13_50_19-APW_ENG_20080825.0910.LDC2009T13_50_10,APW_ENG_20080825.0910.LDC2009T13_50,Benazir Bhutto-Asif Ali Zardari,t,0.986,"{The,collapse,of,the,fragile,alliance,threw,more,power,to,Asif,Ali,Zardari,"","",the,widower,of,assassinated,ex-leader,Benazir,Bhutto,and,a,corruption-tainted,former,polo,player,who,now,becomes,the,front-runner,to,replace,Musharraf,.}",19,2,10,3,3,"{word_between=widower,num_words_between=6,""word_between=,"",word_between=assassinated,word_between=ex-leader,word_between=the,word_between=of}","{5.75871,-1.40007,-1.39174,0.477792,0.420171,0.356385,0.209585}"
eng-WL-11-174588-12938548_3089_5-eng-WL-11-174588-12938548_3089_2,eng-WL-11-174588-12938548_3089,Ryan Phillippe-Witherspoon,,0.914,"{Ironically,"","",Witherspoon,'s,ex-hubby,Ryan,Phillippe,might,beat,her,down,the,aisle,--,to,tie,the,knot,with,the,woman,largely,considered,responsible,for,splitting,up,the,Witherspoon-Phillippe,marriage,:,Abbie,Cornish,.}",5,2,2,1,1,"{word_between=ex-hubby,num_words_between=2,word_between='s}","{3.32107,-0.845881,-0.0329627}"
NYT_ENG_20080417.0215.LDC2009T13_1397_5-NYT_ENG_20080417.0215.LDC2009T13_1397_50,NYT_ENG_20080417.0215.LDC2009T13_1397,Jordan Roth-Jan Kallish,,0.938,"{Presented,by,Jujamcyn,Theaters,"","",Jordan,Roth,"","",Harvey,""Entertainment\\/Ron"",Fierstein,"","",Richie,Jackson,"","",Daryl,Roth,"","",John,O'Boyle,""\\/"",Ricky,Stevens,""\\/"",Davis-Tolentino,and,Barbra,""Russell\\/Ron"",Sharpe,"","",in,association,with,Frankel-Baruch-Viertel-Routh,Group,"","",Broadway,Across,America,"","",True,Love,Productions,"","",Rick,""Steiner\\/Mayerson-Bell-Staton"",-,Osher,Group,and,Jan,Kallish,.}",5,2,50,2,2,"{""word_between=\\/"",num_words_between=43,word_between=Richie,""word_between=,"",word_between=Broadway,word_between=Stevens,word_between=Harvey,word_between=Fierstein,""word_between=Entertainment\\/Ron"",word_between=America,word_between=Rick,word_between=Group,word_between=with,word_between=-,word_between=Barbra,word_between=and,word_between=Roth,word_between=association,word_between=Jackson,word_between=Daryl,word_between=John,word_between=in,word_between=True,word_between=Ricky,word_between=Love,word_between=Davis-Tolentino,word_between=Sharpe,word_between=Frankel-Baruch-Viertel-Routh,""word_between=Steiner\\/Mayerson-Bell-Staton"",word_between=Osher,word_between=Across,""word_between=Russell\\/Ron"",word_between=O'Boyle,word_between=Productions}","{2.60847,-1.85905,-1.79681,-1.39174,1.30719,-1.27435,1.26517,1.23933,1.23933,1.09817,-1.0733,1.06658,1.03993,-0.908362,-0.798522,0.625537,-0.497477,0.451987,0.446077,0.383736,-0.306792,0.180563,-0.16537,-0.142264,0.111815,0,0,0,0,0,0,0,0,0}"
110645@54_0-110645@54_12,110645@54,Fleetwood-Duncan,,0.922,"{Fleetwood,added,:,``,And,the,way,she,'s,so,flirty,with,Duncan,--,she,'s,someone,who,knows,how,to,handle,older,guys,.,''}",0,1,12,1,1,"{word_between=:,word_between=she,word_between=And,num_words_between=11,word_between=with,word_between=added,word_between=so,word_between=the,word_between=``,word_between=way,word_between='s,word_between=flirty}","{-1.39097,1.3036,1.15851,-1.13974,1.03993,0.689231,0.542546,0.356385,-0.300107,0.0606534,-0.0329627,0}"
NYT_ENG_20080826.0129.LDC2009T13_940_16-NYT_ENG_20080826.0129.LDC2009T13_940_29,NYT_ENG_20080826.0129.LDC2009T13_940,John Kerry-Teresa Heinz,t,0.99,"{When,asked,how,many,homes,he,himself,owns,"","",Romney,replied,"","",``,One,less,than,John,Kerry,"","",'',the,2004,Democratic,presidential,nominee,who,is,married,to,Teresa,Heinz,of,the,Heinz,food,fortune,.}",16,2,29,2,2,"{word_between=married,""word_between=,"",num_words_between=11,word_between=presidential,word_between=Democratic,word_between=2004,word_between=who,word_between=the,word_between=is,word_between=nominee,word_between='',word_between=to}","{3.39603,-1.39174,-1.13974,0.752421,0.650308,0.643492,0.520035,0.356385,0.290995,-0.0798219,0.0444401,-0.00130738}"
157414@11_0-157414@11_24,157414@11,Robinson-Sasha,,1,"{Robinson,"","",71,"","",a,widow,"","",did,retire,from,her,part-time,bank,job,to,care,for,her,granddaughters,Malia,"","",10,"","",and,Sasha,"","",7,"","",during,the,campaign,"","",but,whether,she,'ll,move,from,Chicago,into,the,White,House,has,become,a,favorite,Washington,parlor,game,.}",0,1,24,1,1,"{word_between=Malia,word_between=widow,num_words_between=23,word_between=care,word_between=job,""word_between=,"",word_between=bank,word_between=did,word_between=10,word_between=and,word_between=her,word_between=from,word_between=for,word_between=a,word_between=71,word_between=to,word_between=part-time,word_between=retire,word_between=granddaughters}","{6.16029,4.62161,-2.68672,2.59288,-2.34911,-1.39174,-0.889533,0.684499,-0.663774,0.625537,0.550978,0.507163,-0.0635128,0.0548419,-0.0014038,-0.00130738,0,0,0}"
121289@30_9-121289@30_0,121289@30,Irving Penn-Lisa Fonssagrives,t,0.92,"{Lisa,Fonssagrives,"","",the,late,wife,of,the,photographer,Irving,Penn,"","",was,a,reference,"","",and,in,the,outline,of,some,of,the,black,jackets,or,a,slim,pastel,evening,dress,draped,with,billowing,yards,of,silk,"","",you,could,detect,her,influence,.}",9,2,0,2,2,"{word_between=wife,num_words_between=7,""word_between=,"",word_between=photographer,word_between=the,word_between=late,word_between=of}","{4.1321,-1.74305,-1.39174,0.728886,0.356385,0.21605,0.209585}"
APW_ENG_20080715.1305.LDC2009T13_183_28-APW_ENG_20080715.1305.LDC2009T13_183_6,APW_ENG_20080715.1305.LDC2009T13_183,Roman Polanski-Manson,,0.992,"{Atkins,"","",two,other,women,and,Manson,were,convicted,of,the,1969,cult,killings,of,seven,people,"","",including,pregnant,actress,Sharon,Tate,"","",the,wife,of,director,Roman,Polanski,.}",28,2,6,1,1,"{word_between=wife,num_words_between=21,word_between=seven,word_between=convicted,word_between=were,word_between=cult,""word_between=,"",word_between=people,word_between=actress,word_between=including,word_between=pregnant,word_between=director,word_between=the,word_between=Sharon,word_between=1969,word_between=killings,word_between=of,word_between=Tate}","{4.1321,-2.42479,2.24898,-1.9708,-1.88947,1.78177,-1.39174,1.369,1.23809,-0.810932,0.585527,0.423744,0.356385,0.343889,-0.336185,0.312772,0.209585,-0.0724377}"
AFP_ENG_20071116.0359.LDC2009T13_340_0-AFP_ENG_20071116.0359.LDC2009T13_340_9,AFP_ENG_20071116.0359.LDC2009T13_340,Sonia Gandhi-Rajiv Gandhi,t,0.956,"{Sonia,Gandhi,"","",Italian-born,widow,of,former,prime,minister,Rajiv,Gandhi,"","",and,her,two,children,--,Rahul,and,daughter,Priyanka,--,are,among,India,'s,most,closely,guarded,politicians,.}",0,2,9,2,2,"{word_between=widow,num_words_between=7,""word_between=,"",word_between=minister,word_between=Italian-born,word_between=former,potential_last_name_match,word_between=prime,word_between=of}","{4.62161,-1.74305,-1.39174,1.01272,0.753039,0.437364,-0.415994,-0.367957,0.209585}"
131792@91_0-131792@91_13,131792@91,John McCain-Hensley,,0.998,"{John,McCain,'s,tax,returns,show,that,his,wife,received,a,salary,from,Hensley,of,more,than,$,""430,000"",each,of,the,last,two,years,.}",0,2,13,1,1,"{word_between=wife,word_between=salary,word_between=returns,num_words_between=11,word_between=tax,word_between=from,word_between=show,word_between=his,word_between=that,word_between=received,word_between=a,word_between='s}","{4.1321,3.68447,1.71267,-1.13974,-1.04338,0.507163,-0.186094,0.168154,0.103416,0.0778125,0.0548419,-0.0329627}"
NYT_ENG_20080204.0120.LDC2009T13_890_18-NYT_ENG_20080204.0120.LDC2009T13_890_32,NYT_ENG_20080204.0120.LDC2009T13_890,John F. Kennedy-Maria Shriver,f,0.966,"{The,endorsements,came,from,Sen.,Edward,M.,Kennedy,"","",D-Mass.,"","",Caroline,Kennedy,"","",daughter,of,slain,President,John,F.,Kennedy,"","",Ethel,Kennedy,"","",widow,of,Robert,F.,Kennedy,"","",and,Maria,Shriver,"","",President,Kennedy,'s,niece,.}",18,3,32,2,2,"{word_between=widow,word_between=Ethel,""word_between=,"",num_words_between=11,word_between=and,word_between=F.,word_between=of,word_between=Robert,word_between=Kennedy}","{4.62161,1.68466,-1.39174,-1.13974,0.625537,-0.569194,0.209585,-0.176753,-0.17538}"
APW_ENG_20070308.0368.LDC2009T13_300_26-APW_ENG_20070308.0368.LDC2009T13_300_16,APW_ENG_20070308.0368.LDC2009T13_300,Parmeshwar-David Furnish,,0.986,"{Guests,"","",who,included,Princess,Marie,Chantal,of,Greece,"","",pop,icon,Elton,John,'s,partner,David,Furnish,and,Indian,industrialist,Adi,Godrej,and,his,wife,Parmeshwar,--,who,hosted,a,beach,front,party,for,the,couple,in,Mumbai,--,were,entertained,by,folk,dancers,and,a,cricket,match,on,its,plush,palace,lawns,"","",PTI,said,.}",26,1,16,2,2,"{word_between=wife,num_words_between=8,word_between=and,word_between=Indian,word_between=his,word_between=industrialist,word_between=Godrej,word_between=Adi}","{4.1321,-1.41285,0.625537,0.350746,0.168154,-0.00788111,0,0}"
LTW_ENG_20070524.0098.LDC2009T13_6_20-LTW_ENG_20070524.0098.LDC2009T13_6_0,LTW_ENG_20070524.0098.LDC2009T13_6,Samuel David Cheney-Mary Cheney,,0.922,"{Mary,Cheney,gave,birth,Wednesday,to,perhaps,the,most,anticipated,baby,in,contemporary,U.S.,politics,--,her,first,child,"","",Samuel,David,Cheney,"","",whom,she,will,raise,with,her,longtime,lesbian,partner,Heather,Poe,.}",20,3,0,2,2,"{word_between=perhaps,word_between=birth,num_words_between=18,""word_between=,"",word_between=politics,word_between=contemporary,word_between=--,word_between=Wednesday,word_between=gave,word_between=her,word_between=most,potential_last_name_match,word_between=the,word_between=baby,word_between=first,word_between=anticipated,word_between=in,word_between=U.S.,word_between=child,word_between=to}","{2.04834,1.92266,-1.90702,-1.39174,1.07455,0.652967,-0.612218,-0.604256,-0.555281,0.550978,0.465428,-0.415994,0.356385,0.348812,0.253295,-0.246838,0.180563,0.122999,0.101437,-0.00130738}"
NYT_ENG_20070121.0131.LDC2009T13_766_6-NYT_ENG_20070121.0131.LDC2009T13_766_40,NYT_ENG_20070121.0131.LDC2009T13_766,Uday-Hosni Mubarak,,0.972,"{Some,accounts,suggest,that,his,son,Uday,did,while,he,was,temporarily,banished,from,Iraq,for,killing,his,father,'s,personal,valet,and,food,taster,at,a,party,in,honor,of,Suzanne,Mubarak,"","",wife,of,the,Egyptian,president,"","",Hosni,Mubarak,.}",6,1,40,2,2,"{word_between=wife,word_between=banished,word_between=father,word_between=Egyptian,""word_between=,"",word_between=honor,word_between=personal,word_between=Iraq,num_words_between=33,word_between=party,word_between=temporarily,word_between=did,word_between=and,word_between=Suzanne,word_between=from,word_between=the,word_between=he,word_between=was,word_between=of,word_between=at,word_between=in,word_between=killing,word_between=his,word_between=Mubarak,word_between=president,word_between=for,word_between=food,word_between=a,word_between='s,word_between=while,word_between=valet,word_between=taster}","{4.1321,3.27775,-2.09397,1.61649,-1.39174,-1.34676,1.20004,-1.02501,-0.888302,-0.838429,-0.774225,0.684499,0.625537,-0.564418,0.507163,0.356385,0.326569,-0.252233,0.209585,-0.191547,0.180563,-0.169098,0.168154,-0.0980204,-0.094942,-0.0635128,-0.0579877,0.0548419,-0.0329627,-0.00767897,0,0}"
74867@40_38-74867@40_22,74867@40,George Stephanopoulos-Jerry,,0.994,"{She,arranges,play,dates,for,her,children,in,the,Hamptons,with,Ali,Wentworth,"","",an,actress,who,-LRB-,in,addition,to,playing,Jerry,'s,girlfriend,in,the,Soup,Nazi,episode,of,``,Seinfeld,'',-RRB-,is,married,to,George,Stephanopoulos,of,ABC,.}",38,2,22,1,1,"{word_between=married,word_between=girlfriend,num_words_between=15,word_between=Seinfeld,word_between=-RRB-,word_between=Nazi,word_between=the,word_between=``,word_between=is,word_between=of,word_between=in,word_between='',word_between='s,word_between=episode,word_between=to,word_between=Soup}","{3.39603,3.35926,-2.39452,1.07775,-1.05935,0.360992,0.356385,-0.300107,0.290995,0.209585,0.180563,0.0444401,-0.0329627,0.0167435,-0.00130738,0}"
eng-WL-110-174612-12991749_58_14-eng-WL-110-174612-12991749_58_73,eng-WL-110-174612-12991749_58,Jerkins-Reginald,,0.952,"{The,yet,to,be,titled,project,will,boast,productions,from,Rodney,``,Darkchild,'',Jerkins,-LRB-,Whitney,Houston,"","",Toni,Braxton,-RRB-,"","",Jack,Splash,-LRB-,Alicia,Keys,"","",Britney,Spears,-RRB-,"","",Beau,Dozier,-LRB-,Joss,Stone,"","",Nicole,Scherzinger,-RRB-,"","",Timothy,``,Timbaland,'',Mosley,-LRB-,Ashlee,Simpson,"","",Nelly,Furtado,-RRB-,"","",Stargate,:,Tor,Erik,Hermansen,&,Mikkel,Storleer,Eriksen,-LRB-,Claudette,Ortiz,"","",Jessica,Simpson,-RRB-,"","",Reginald,``,Scyience,'',Perry,-LRB-,Karina,Pasian,"","",Mary,J.,Blige,-RRB-,and,Chad,Beatz,-LRB-,Stefani,Vara,"","",Ashanti,Douglas,-RRB-,"","",as,well,as,songwriting,contributions,by,Makeba,Riddick,-LRB-,Toni,Braxton,"","",Jennifer,Lopez,-RRB-,"","",Kara,DioGuardi,-LRB-,Celine,Dion,"","",Gwen,Stefani,-RRB-,"","",Amanda,Ghost,-LRB-,Livvi,Franc,"","",Jordin,Sparks,-RRB-,"","",Cristyle,``,The,Ink,'',Johnson,-LRB-,Mariah,Carey,"","",Tiffany,Evans,-RRB-,"","",Rico,Love,-LRB-,Michelle,Williams,"","",Keri,Hilson,-RRB-,"","",Johnta,Austin,-LRB-,Chris,Brown,"","",Leona,Lewis,-RRB-,"","",Stefani,``,Lady,GaGa,'',Germanotta,-LRB-,LeToya,Luckett,"","",Esmee,Denters,-RRB-,and,Sean,``,The,Pen,'',Garrett,-LRB-,Teairra,Mari,"","",Janet,Jackson,-RRB-,.}",14,1,73,1,1,"{num_words_between=58,word_between=Whitney,word_between=Jessica,word_between=Claudette,word_between=Alicia,word_between=Spears,""word_between=,"",word_between=:,word_between=Stargate,word_between=Storleer,word_between=Ashlee,word_between=-RRB-,word_between=Toni,word_between=Beau,word_between=Scherzinger,word_between=&,word_between=-LRB-,word_between=Stone,word_between=Mosley,word_between=Britney,word_between=Jack,word_between=Timothy,word_between=Ortiz,word_between=Braxton,word_between=Timbaland,word_between=Keys,word_between=Nelly,word_between=Houston,word_between=Simpson,word_between=``,word_between=Furtado,word_between=Tor,word_between=Hermansen,word_between=Eriksen,word_between=Mikkel,word_between=Nicole,word_between='',word_between=Erik,word_between=Splash,word_between=Dozier,word_between=Joss}","{2.45122,1.88727,-1.76469,1.708,1.58559,-1.40183,-1.39174,-1.39097,1.31514,1.23014,-1.16223,-1.05935,0.959844,-0.868446,0.752869,0.736425,-0.686559,-0.649408,0.64783,0.602459,-0.579744,-0.550308,-0.471056,0.360111,-0.349688,0.349602,0.330132,-0.316707,0.312638,-0.300107,-0.299098,0.230372,0.230372,0.230372,0.230372,-0.136867,0.0444401,-0.026031,0,0,0}"
106962@29_14-106962@29_11,106962@29,Nicolas Cage-Elisabeth Shue,f,0.988,"{I,like,``,Leaving,Las,Vegas,'',-LRB-,1995,-RRB-,because,Elisabeth,Shue,loves,Nicolas,Cage,so,much,she,pours,liquor,all,over,her,treasures,.}",14,2,11,2,2,"{word_between=loves,num_words_between=1}","{4.52345,-0.161589}"
APW_ENG_20070413.1639.LDC2009T13_136_0-APW_ENG_20070413.1639.LDC2009T13_136_9,APW_ENG_20070413.1639.LDC2009T13_136,Steven Spielberg-Amy Irving,t,0.938,"{Steven,Spielberg,comes,in,third,for,paying,his,ex-wife,Amy,Irving,an,estimated,$,100,million,-LRB-,euro73,.9,million,-RRB-,"","",which,was,then,half,his,fortune,"","",when,they,divorced,in,1989,.}",0,2,9,2,2,"{word_between=ex-wife,num_words_between=7,word_between=paying,word_between=third,word_between=comes,word_between=in,word_between=his,word_between=for}","{3.11499,-1.74305,0.814759,-0.262304,0.253721,0.180563,0.168154,-0.0635128}"
eng-WL-11-174595-12968458_604_33-eng-WL-11-174595-12968458_604_55,eng-WL-11-174595-12968458_604,Michael Lohan-Riley Giles,,0.928,"{In,happy,family,news,"","",Lindsay,Lohan,has,been,spending,some,time,in,NYC,this,week,where,she,was,joined,by,all,the,members,of,her,family,-LRB-,except,for,her,media-loving,father,Michael,Lohan,who,was,prolly,too,bizzy,posing,for,cameras,at,a,staged,photo,op,somewhere,instead,-RRB-,and,her,new,boyfriend,Riley,Giles,for,some,pre-Thanksgiving,bonding,.}",33,2,55,2,2,"{word_between=boyfriend,num_words_between=20,word_between=posing,word_between=too,word_between=photo,word_between=bizzy,word_between=-RRB-,word_between=new,word_between=and,word_between=her,word_between=who,word_between=instead,word_between=somewhere,word_between=was,word_between=at,word_between=staged,word_between=for,word_between=a,word_between=prolly,word_between=op,word_between=cameras}","{2.83561,-1.77376,1.46916,-1.33854,-1.30922,1.19027,-1.05935,0.742709,0.625537,0.550978,0.520035,0.402456,0.362238,-0.252233,-0.191547,-0.0895442,-0.0635128,0.0548419,0,0,0}"
